Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,570165,569872,8.70,8.69
1,64,523989,523848,31.98,31.97
1,256,422273,422190,103.09,103.07
1,512,327764,327695,160.04,160.00
1,1024,238173,238135,232.59,232.55
1,4096,90196,90179,352.32,352.26
1,16384,23725,23721,370.70,370.64
2,16,570235,569982,8.70,8.69
2,64,521369,521185,31.82,31.81
2,256,426161,426017,104.04,104.00
2,512,314339,314287,153.48,153.46
2,1024,241739,241625,236.07,235.96
2,4096,88064,88046,344.00,343.92
2,16384,23127,23120,361.35,361.25
3,16,571928,571674,8.72,8.72
3,64,531319,531135,32.42,32.41
3,256,421821,421749,102.98,102.96
3,512,68451,68356,33.42,33.37
3,1024,7401,7357,7.22,7.18
3,4096,2580,2619,10.07,10.23
3,16384,482,479,7.53,7.48
