Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,348180,174124,5.31,2.65
1,64,339446,169463,20.71,10.34
1,256,331406,166394,80.90,40.62
1,512,351896,172548,171.82,84.25
1,1024,339928,169974,331.96,165.99
2,16,347610,173666,5.30,2.64
2,64,352348,175935,21.50,10.73
2,256,335524,167431,81.91,40.87
2,512,361146,181979,176.34,88.85
2,1024,336378,168119,328.49,164.17
3,16,354670,177588,5.41,2.70
3,64,343118,171545,20.94,10.47
3,256,335714,167398,81.96,40.86
3,512,360936,180100,176.23,87.93
3,1024,294774,147393,287.86,143.93
