Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,267786,133614,4.08,2.03
1,64,298340,149199,18.20,9.10
1,256,242196,120999,59.12,29.54
1,512,259498,129915,126.70,63.43
1,1024,267310,133714,261.04,130.58
2,16,221806,111234,3.38,1.69
2,64,278034,138998,16.96,8.48
2,256,212586,106358,51.90,25.96
2,512,253192,126600,123.62,61.81
2,1024,283566,142153,276.91,138.82
3,16,290848,145333,4.43,2.21
3,64,268214,134038,16.37,8.18
3,256,243430,121867,59.43,29.75
3,512,251104,125557,122.60,61.30
3,1024,266196,133078,259.95,129.95
