Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,254446,126762,3.88,1.93
1,64,303720,151922,18.53,9.27
1,256,253356,126985,61.85,31.00
1,512,289984,145168,141.59,70.88
1,1024,265524,132845,259.30,129.73
2,16,273420,135125,4.17,2.06
2,64,259458,129830,15.83,7.92
2,256,195656,97871,47.76,23.89
2,512,264622,131735,129.20,64.32
2,1024,247940,123991,242.12,121.08
3,16,208558,104179,3.18,1.58
3,64,211732,105853,12.92,6.46
3,256,259860,129960,63.44,31.72
3,512,235002,117406,114.74,57.32
3,1024,242848,121442,237.15,118.59
