Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,327298,163645,4.99,2.49
1,64,342430,171149,20.90,10.44
1,256,311322,155523,76.00,37.96
1,512,326218,163097,159.28,79.63
1,1024,315636,158037,308.23,154.33
2,16,347230,173613,5.29,2.64
2,64,344450,172193,21.02,10.50
2,256,314846,157324,76.86,38.40
2,512,322824,161538,157.62,78.87
2,1024,321610,160772,314.07,157.00
3,16,354108,177015,5.40,2.70
3,64,310578,155321,18.95,9.48
3,256,337486,168832,82.39,41.21
3,512,318728,160618,155.62,78.42
3,1024,332750,166432,324.95,162.53
