Run,Size,RateLimit,Min,Median,P75,P95,P99,PubRate,PubBW,ConBW
1,16,10,0.17,0.21,0.22,0.23,0.23,10,0.00,0.00
1,16,100,0.09,0.12,0.12,0.13,0.15,100,0.00,0.00
1,16,1000,0.08,0.10,0.12,0.13,0.17,1000,0.01,0.01
1,16,5000,0.08,0.13,0.16,0.20,0.20,4998,0.07,0.07
1,16,10000,0.07,0.15,0.19,0.20,0.21,9993,0.15,0.15
1,16,50000,0.08,0.17,0.20,0.37,0.48,49807,0.75,0.75
1,16,100000,0.09,0.24,0.31,0.91,1.55,99213,1.51,1.51
1,16,250000,0.08,0.48,0.71,29.42,69.49,245307,3.74,3.74
1,16,500000,0.07,0.15,0.17,9.36,55.60,265939,4.05,4.05
2,16,10,0.11,0.21,0.21,0.22,0.23,10,0.00,0.00
2,16,100,0.10,0.13,0.15,0.16,0.17,100,0.00,0.00
2,16,1000,0.08,0.12,0.12,0.16,0.17,1000,0.01,0.01
2,16,5000,0.08,0.12,0.13,0.19,0.20,4998,0.07,0.07
2,16,10000,0.07,0.16,0.19,0.20,0.20,9993,0.15,0.15
2,16,50000,0.08,0.19,0.27,0.45,0.51,49807,0.75,0.75
2,16,100000,0.08,0.25,0.34,0.75,1.34,99222,1.51,1.51
2,16,250000,0.11,0.53,0.68,0.83,11.25,245187,3.74,3.74
2,16,500000,0.08,2.67,3.58,12.06,64.96,482066,7.35,7.35
3,16,10,0.12,0.21,0.22,0.23,0.25,10,0.00,0.00
3,16,100,0.10,0.12,0.13,0.14,0.16,100,0.00,0.00
3,16,1000,0.08,0.12,0.12,0.16,0.17,1000,0.01,0.01
3,16,5000,0.08,0.12,0.15,0.20,0.20,4998,0.07,0.07
3,16,10000,0.08,0.16,0.19,0.20,0.21,9993,0.15,0.15
3,16,50000,0.08,0.17,0.20,0.44,0.55,49810,0.76,0.76
3,16,100000,0.08,0.25,0.33,0.79,1.46,99228,1.51,1.51
3,16,250000,0.07,0.93,2.07,22.19,35.06,244726,3.73,3.73
3,16,500000,0.09,0.19,0.22,17.00,49.29,443368,6.76,6.76
1,64,10,0.13,0.21,0.22,0.23,0.24,10,0.00,0.00
1,64,100,0.10,0.11,0.12,0.13,0.15,100,0.00,0.00
1,64,1000,0.07,0.11,0.12,0.14,0.17,1000,0.06,0.06
1,64,5000,0.08,0.11,0.13,0.17,0.18,4998,0.30,0.30
1,64,10000,0.07,0.14,0.15,0.19,0.20,9993,0.60,0.60
1,64,50000,0.08,0.19,0.28,0.40,0.46,49801,3.03,3.03
1,64,100000,0.08,0.27,0.36,0.88,1.49,99227,6.05,6.05
1,64,250000,0.08,0.83,1.81,11.30,21.24,244964,14.95,14.95
1,64,500000,0.08,0.15,0.17,5.19,53.17,265255,16.18,16.18
2,64,10,0.12,0.21,0.21,0.23,0.24,10,0.00,0.00
2,64,100,0.10,0.12,0.12,0.14,0.15,100,0.00,0.00
2,64,1000,0.07,0.12,0.13,0.16,0.17,1000,0.06,0.06
