Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,353546,176800,5.39,2.69
1,64,337096,168583,20.57,10.28
1,256,329558,164943,80.45,40.26
1,512,325260,162582,158.81,79.38
1,1024,323360,161842,315.78,158.04
2,16,344880,172495,5.26,2.63
2,64,328760,164366,20.06,10.03
2,256,334976,167505,81.78,40.89
2,512,327464,163714,159.89,79.93
2,1024,312496,155800,305.17,152.14
3,16,345932,172958,5.27,2.63
3,64,322184,161082,19.66,9.83
3,256,316302,158184,77.22,38.61
3,512,333492,166696,162.83,81.39
3,1024,315814,157918,308.41,154.21
