Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,458403,458184,6.99,6.99
1,64,516307,516200,31.51,31.50
1,256,408502,408456,99.73,99.72
1,512,317291,317255,154.92,154.90
1,1024,229205,229181,223.83,223.80
1,4096,79384,79376,310.09,310.06
1,16384,25268,25265,394.81,394.76
1,65536,6710,6709,419.37,419.31
2,16,554956,554750,8.46,8.46
2,64,516598,516508,31.53,31.52
2,256,403669,403621,98.55,98.54
2,512,328251,328202,160.27,160.25
2,1024,220544,220522,215.37,215.35
2,4096,78905,78888,308.22,308.15
2,16384,22957,22955,358.70,358.67
2,65536,6901,6901,431.31,431.31
3,16,562692,562527,8.58,8.58
3,64,504135,504042,30.76,30.76
3,256,431099,431047,105.24,105.23
3,512,319193,319152,155.85,155.83
3,1024,217286,217257,212.19,212.16
3,4096,77065,77057,301.03,301.00
3,16384,22411,22410,350.17,350.15
3,65536,2830,2829,176.87,176.81
