Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,583006,582826,8.89,8.89
1,64,508295,508180,31.02,31.01
1,256,396403,396349,96.77,96.76
1,512,324760,324735,158.57,158.56
1,1024,228834,228814,223.47,223.45
1,4096,70678,70670,276.08,276.05
1,16384,22304,22302,348.50,348.46
1,65536,6458,6457,403.62,403.56
2,16,554497,554249,8.46,8.45
2,64,493134,493062,30.09,30.09
2,256,425348,425292,103.84,103.83
2,512,308334,308309,150.55,150.54
2,1024,226629,226611,221.31,221.29
2,4096,84638,84633,330.61,330.59
2,16384,23914,23912,373.65,373.62
2,65536,6420,6420,401.25,401.25
3,16,560914,560707,8.55,8.55
3,64,505391,505271,30.84,30.83
3,256,426556,426505,104.13,104.12
3,512,313157,313131,152.90,152.89
3,1024,251459,251436,245.56,245.54
3,4096,77965,77957,304.55,304.51
3,16384,21763,21762,340.04,340.03
3,65536,6299,6298,393.68,393.62
