Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,342138,196602,5.22,2.99
1,64,326272,163846,19.91,10.00
1,256,331080,170258,80.83,41.56
1,512,343704,175338,167.82,85.61
1,1024,274112,137163,267.68,133.94
2,16,359256,184624,5.48,2.81
2,64,348336,186785,21.26,11.40
2,256,362106,185824,88.40,45.36
2,512,341848,169416,166.91,82.72
2,1024,277986,138861,271.47,135.60
3,16,347278,185988,5.29,2.83
3,64,329924,193014,20.13,11.78
3,256,340822,178079,83.20,43.47
3,512,345586,177099,168.74,86.47
3,1024,301492,150191,294.42,146.67
