Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,249708,124831,3.81,1.90
1,64,187778,93813,11.46,5.72
1,256,184878,92361,45.13,22.54
1,512,255852,128031,124.92,62.51
1,1024,263026,131498,256.86,128.41
2,16,206556,103274,3.15,1.57
2,64,224826,113102,13.72,6.90
2,256,250166,125128,61.07,30.54
2,512,292778,146370,142.95,71.46
2,1024,264832,132345,258.62,129.24
3,16,264078,132068,4.02,2.01
3,64,245460,122950,14.98,7.50
3,256,269158,135137,65.71,32.99
3,512,250198,125105,122.16,61.08
3,1024,214068,107029,209.05,104.52
