Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,268786,133745,4.10,2.04
1,64,170562,85211,10.41,5.20
1,256,286828,142912,70.02,34.89
1,512,204606,102072,99.90,49.83
1,1024,197552,100047,192.92,97.70
2,16,207848,103316,3.17,1.57
2,64,198470,99216,12.11,6.05
2,256,243716,121102,59.50,29.56
2,512,183100,91584,89.40,44.71
2,1024,254360,127173,248.39,124.19
3,16,264300,132397,4.03,2.02
3,64,299832,149877,18.30,9.14
3,256,199472,99704,48.69,24.34
3,512,194776,97286,95.10,47.50
3,1024,254032,126846,248.07,123.87
