Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,259956,129852,3.96,1.98
1,64,296032,147908,18.06,9.02
1,256,288640,144813,70.46,35.35
1,512,257736,129302,125.84,63.13
1,1024,239280,119634,233.67,116.83
2,16,272882,136810,4.16,2.08
2,64,264316,132003,16.13,8.05
2,256,257524,128744,62.87,31.43
2,512,194194,97505,94.82,47.60
2,1024,250650,125321,244.77,122.38
3,16,275606,137783,4.20,2.10
3,64,219764,109036,13.41,6.65
3,256,269652,134550,65.83,32.84
3,512,279038,138931,136.24,67.83
3,1024,214740,107142,209.70,104.63
