Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,272370,135987,4.15,2.07
1,64,294982,147570,18.00,9.00
1,256,267932,133957,65.41,32.70
1,512,268934,134885,131.31,65.86
1,1024,188126,93828,183.71,91.62
2,16,295928,147869,4.51,2.25
2,64,258360,129190,15.76,7.88
2,256,294874,147141,71.99,35.92
2,512,261114,130741,127.49,63.83
2,1024,279658,140674,273.10,137.37
3,16,248185,124080,3.78,1.89
3,64,261620,130804,15.96,7.98
3,256,253468,126767,61.88,30.94
3,512,250126,125076,122.13,61.07
3,1024,250626,125296,244.75,122.35
