Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,355951,177863,5.43,2.71
1,64,321388,160664,19.61,9.80
1,256,340138,170060,83.04,41.51
1,512,323356,161774,157.88,78.99
1,1024,326282,163586,318.63,159.75
2,16,341632,170858,5.21,2.60
2,64,321348,160714,19.61,9.80
2,256,322284,161136,78.68,39.33
2,512,332744,166397,162.47,81.24
2,1024,328218,164173,320.52,160.32
3,16,355574,177994,5.42,2.71
3,64,335756,167835,20.49,10.24
3,256,327232,163570,79.89,39.93
3,512,332293,166449,162.25,81.27
3,1024,336085,168418,328.20,164.47
