Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,354350,177080,5.40,2.70
1,64,311682,155931,19.02,9.51
1,256,350590,174692,85.59,42.64
1,512,324100,162080,158.25,79.14
1,1024,327328,163667,319.65,159.83
2,16,316452,158243,4.82,2.41
2,64,322022,161239,19.65,9.84
2,256,328122,164093,80.10,40.06
2,512,315642,157813,154.12,77.05
2,1024,334376,167190,326.53,163.27
3,16,346172,173058,5.28,2.64
3,64,303774,152048,18.54,9.28
3,256,307392,153603,75.04,37.50
3,512,315324,157488,153.96,76.89
3,1024,312854,156444,305.52,152.77
