Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,802974,802747,12.25,12.24
1,64,743488,743387,45.37,45.37
1,256,573999,573956,140.13,140.12
1,512,454536,454504,221.94,221.92
1,1024,306508,306494,299.32,299.31
1,4096,115595,115590,451.54,451.52
1,16384,33513,33511,523.64,523.60
1,65536,9054,9053,565.87,565.81
2,16,803915,803607,12.26,12.26
2,64,746062,745953,45.53,45.52
2,256,580294,580244,141.67,141.66
2,512,456115,456088,222.71,222.69
2,1024,313849,313824,306.49,306.46
2,4096,115654,115648,451.77,451.75
2,16384,33615,33612,525.23,525.18
2,65536,8984,8983,561.50,561.43
3,16,799465,799184,12.19,12.19
3,64,739149,739068,45.11,45.10
3,256,583956,583891,142.56,142.55
3,512,400884,305951,195.74,149.39
3,1024,119731,65856,116.92,64.31
3,4096,17605,17590,68.76,68.71
3,16384,5872,5878,91.75,91.84
3,65536,1073,1073,67.06,67.06
