Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,1017544,1017313,15.52,15.52
1,64,922409,922236,56.29,56.28
1,256,771596,771516,188.37,188.35
1,512,612595,612554,299.11,299.09
1,1024,398672,398606,389.32,389.26
1,4096,100104,100095,391.03,390.99
1,16384,25157,25155,393.07,393.04
1,65536,6299,6299,393.68,393.68
2,16,996262,995320,15.20,15.18
2,64,919980,919927,56.15,56.14
2,256,750243,750185,183.16,183.15
2,512,601835,601786,293.86,293.84
2,1024,399023,398983,389.67,389.63
2,4096,100106,100089,391.03,390.97
2,16384,25164,25158,393.18,393.09
2,65536,6299,6298,393.68,393.62
3,16,999841,999560,15.25,15.25
3,64,950899,950771,58.03,58.03
3,256,720061,719999,175.79,175.78
3,512,602143,602101,294.01,293.99
3,1024,398932,398890,389.58,389.54
3,4096,100102,100097,391.02,391.00
3,16384,25158,25156,393.09,393.06
3,65536,6299,6299,393.68,393.68
