Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,623491,623288,9.51,9.51
1,64,504792,504685,30.81,30.80
1,256,387184,387124,94.52,94.51
1,512,322399,322353,157.42,157.39
1,1024,215085,215063,210.04,210.02
1,4096,82125,82116,320.80,320.76
1,16384,22160,22158,346.25,346.21
1,65536,6432,6432,402.00,402.00
2,16,577197,577047,8.80,8.80
2,64,549977,549864,33.56,33.56
2,256,437822,437773,106.89,106.87
2,512,315931,315897,154.26,154.24
2,1024,219388,219368,214.24,214.22
2,4096,80623,80618,314.93,314.91
2,16384,23119,23117,361.23,361.20
2,65536,6281,6280,392.56,392.50
3,16,581031,580887,8.86,8.86
3,64,520699,520632,31.78,31.77
3,256,409956,409925,100.08,100.07
3,512,315415,315376,154.01,153.99
3,1024,222293,222269,217.08,217.05
3,4096,77064,77059,301.03,301.01
3,16384,21992,21991,343.62,343.60
3,65536,6541,6540,408.81,408.75
