Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,692141,692137,10.56,10.56
1,64,687642,687611,41.97,41.96
1,256,632212,632206,154.34,154.34
1,512,557140,301015,272.04,146.97
1,1024,400471,321658,391.08,314.11
1,4096,100067,100066,390.88,390.88
1,16384,25162,25161,393.15,393.14
1,65536,6300,6300,393.75,393.75
2,16,689803,689801,10.52,10.52
2,64,671726,670581,40.99,40.92
2,256,580636,580633,141.75,141.75
2,512,499332,419038,243.81,204.60
2,1024,355782,355380,347.44,347.05
2,4096,101662,101651,397.11,397.07
2,16384,25164,25160,393.18,393.12
2,65536,6299,6299,393.68,393.68
3,16,707043,707040,10.78,10.78
3,64,679167,679164,41.45,41.45
3,256,620815,620353,151.56,151.45
3,512,568016,365854,277.35,178.63
3,1024,364149,362615,355.61,354.11
3,4096,101663,101656,397.12,397.09
3,16384,25166,25159,393.21,393.10
3,65536,6299,6299,393.68,393.68
