Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,250364,125192,3.82,1.91
1,64,227132,112975,13.86,6.89
1,256,174170,87088,42.52,21.26
1,512,179974,89802,87.87,43.84
1,1024,208460,104288,203.57,101.84
2,16,180590,90291,2.75,1.37
2,64,212862,106520,12.99,6.50
2,256,270370,134777,66.00,32.90
2,512,211300,106710,103.17,52.10
2,1024,286374,143364,279.66,140.00
3,16,214326,107785,3.27,1.64
3,64,273802,136876,16.71,8.35
3,256,174296,87564,42.55,21.37
3,512,183405,91339,89.55,44.59
3,1024,173760,86751,169.68,84.71
