Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,357027,178168,5.44,2.71
1,64,334154,167099,20.39,10.19
1,256,315198,156894,76.95,38.30
1,512,316998,158511,154.78,77.39
1,1024,322210,161118,314.65,157.34
2,16,338682,169687,5.16,2.58
2,64,338730,169356,20.67,10.33
2,256,324580,162328,79.24,39.63
2,512,326382,163286,159.36,79.72
2,1024,332626,166348,324.83,162.44
3,16,346968,173652,5.29,2.64
3,64,324474,162205,19.80,9.90
3,256,271862,130628,66.37,31.89
3,512,335672,168314,163.90,82.18
3,1024,321670,160153,314.13,156.39
