Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,254586,127478,3.88,1.94
1,64,287180,143520,17.52,8.75
1,256,199380,99674,48.67,24.33
1,512,221270,110904,108.04,54.15
1,1024,267072,133311,260.81,130.18
2,16,240744,119900,3.67,1.82
2,64,150320,75208,9.17,4.59
2,256,246192,122084,60.10,29.80
2,512,247972,123967,121.08,60.53
2,1024,246948,123411,241.16,120.51
3,16,253358,126768,3.86,1.93
3,64,253524,126774,15.47,7.73
3,256,282796,141535,69.04,34.55
3,512,258008,128820,125.98,62.90
3,1024,249098,124643,243.25,121.72
