Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,551820,551551,8.42,8.41
1,64,530480,530382,32.37,32.37
1,256,389721,389644,95.14,95.12
1,512,332105,332027,162.16,162.12
1,1024,208459,208439,203.57,203.55
1,4096,76011,76002,296.91,296.88
1,16384,25143,25139,392.85,392.79
1,65536,7095,7094,443.43,443.37
2,16,560245,560076,8.54,8.54
2,64,491368,491248,29.99,29.98
2,256,418662,418589,102.21,102.19
2,512,303308,303273,148.09,148.08
2,1024,206274,206249,201.43,201.41
2,4096,85473,85456,333.87,333.81
2,16384,22054,22052,344.59,344.56
2,65536,6336,6335,396.00,395.93
3,16,556045,555747,8.48,8.48
3,64,543575,543452,33.17,33.16
3,256,391188,391132,95.50,95.49
3,512,290968,290908,142.07,142.04
3,1024,223910,223872,218.66,218.62
3,4096,92015,92002,359.43,359.38
3,16384,26663,26660,416.60,416.56
3,65536,7953,7952,497.06,497.00
