Run,Size,RateLimit,Min,Median,P75,P95,P99,PubRate,PubBW,ConBW
1,16384,1000,0.17,0.34,0.46,0.50,0.55,1000,15.62,15.62
1,16384,5000,0.23,0.49,0.53,0.66,0.86,4998,78.09,78.09
2,16384,10,0.26,0.31,0.35,0.39,0.43,10,0.15,0.15
2,16384,100,0.18,0.26,0.26,0.30,0.38,100,1.56,1.56
2,16384,1000,0.17,0.31,0.41,0.45,0.52,1000,15.62,15.62
2,16384,5000,0.23,0.45,0.48,0.63,0.89,4999,78.10,78.09
3,16384,10,0.24,0.37,0.38,0.40,0.46,10,0.15,0.15
3,16384,100,0.23,0.36,0.36,0.39,0.47,100,1.56,1.56
3,16384,1000,0.23,0.43,0.43,0.46,0.61,1000,15.62,15.62
3,16384,5000,0.23,0.50,0.61,0.69,0.92,4998,78.09,78.09
1,65536,10,0.45,0.57,0.64,0.69,0.88,10,0.62,0.62
1,65536,100,0.29,0.39,0.41,0.47,0.56,100,6.25,6.25
1,65536,1000,0.32,0.47,0.48,0.62,0.93,1000,62.50,62.50
2,65536,10,0.37,0.42,0.45,0.57,0.89,10,0.62,0.62
2,65536,100,0.30,0.38,0.40,0.47,0.56,100,6.25,6.25
2,65536,1000,0.30,0.45,0.59,0.67,1.03,1000,62.50,62.50
3,65536,10,0.38,0.47,0.47,0.67,0.77,10,0.62,0.62
3,65536,100,0.32,0.40,0.42,0.49,0.59,100,6.25,6.25
3,65536,1000,0.29,0.40,0.43,0.52,0.85,1000,62.50,62.50
