Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,563956,563804,8.60,8.60
1,64,497334,497213,30.35,30.34
1,256,429829,429692,104.93,104.90
1,512,353320,353264,172.51,172.49
1,1024,233460,233433,227.98,227.96
1,4096,89535,89524,349.74,349.70
1,16384,26322,26318,411.28,411.21
1,65536,7099,7096,443.68,443.50
2,16,575350,575141,8.77,8.77
2,64,502897,502792,30.69,30.68
2,256,401155,401101,97.93,97.92
2,512,332058,332011,162.13,162.11
2,1024,238652,238617,233.05,233.02
2,4096,90315,90304,352.79,352.75
2,16384,22397,22394,349.95,349.90
2,65536,7192,7191,449.50,449.43
3,16,556130,555948,8.48,8.48
3,64,536434,536304,32.74,32.73
3,256,424126,424040,103.54,103.52
3,512,340127,340078,166.07,166.05
3,1024,259764,259717,253.67,253.62
3,4096,88473,88453,345.59,345.51
3,16384,12650,12646,197.65,197.59
3,65536,561,560,35.06,35.00
