Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,978405,977967,14.92,14.92
1,64,921814,921502,56.26,56.24
1,256,758862,758696,185.26,185.22
1,512,642004,641742,313.47,313.35
1,1024,514184,514027,502.13,501.97
1,4096,149449,149150,583.78,582.61
1,16384,37748,37725,589.81,589.45
1,65536,9461,9459,591.31,591.18
2,16,984679,984330,15.02,15.01
2,64,941626,941367,57.47,57.45
2,256,810911,810725,197.97,197.93
2,512,662054,661861,323.26,323.17
2,1024,504766,504619,492.93,492.79
2,4096,149467,149164,583.85,582.67
2,16384,37749,37726,589.82,589.46
2,65536,9461,9458,591.31,591.12
3,16,998138,997644,15.23,15.22
3,64,938427,938110,57.27,57.25
3,256,795307,795016,194.16,194.09
3,512,663290,663122,323.87,323.79
3,1024,512597,512476,500.58,500.46
3,4096,149451,149146,583.79,582.60
3,16384,37747,37712,589.79,589.25
3,65536,8899,8898,556.18,556.12
