Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,702642,702638,10.72,10.72
1,64,684788,683736,41.79,41.73
1,256,247079,246872,60.32,60.27
1,512,128091,128047,62.54,62.52
1,1024,65844,65864,64.30,64.32
1,4096,16807,16815,65.65,65.68
1,16384,4224,4227,66.00,66.04
1,65536,1056,1057,66.00,66.06
2,16,711095,709879,10.85,10.83
2,64,700462,700367,42.75,42.74
2,256,246757,246459,60.24,60.17
2,512,128095,128035,62.54,62.51
2,1024,65761,65738,64.21,64.19
2,4096,16805,16820,65.64,65.70
2,16384,4224,4227,66.00,66.04
2,65536,1056,1057,66.00,66.06
3,16,703575,703318,10.73,10.73
3,64,681882,681837,41.61,41.61
3,256,247124,247015,60.33,60.30
3,512,128047,128048,62.52,62.52
3,1024,65773,65751,64.23,64.20
3,4096,16806,16818,65.64,65.69
3,16384,4224,4228,66.00,66.06
3,65536,1056,1057,66.00,66.06
