Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,705842,705643,10.77,10.76
1,64,689696,689446,42.09,42.08
1,256,247211,246714,60.35,60.23
1,512,128127,128099,62.56,62.54
1,1024,65760,65735,64.21,64.19
1,4096,16805,16799,65.64,65.62
1,16384,4224,4223,66.00,65.98
1,65536,1056,1056,66.00,66.00
2,16,701534,701526,10.70,10.70
2,64,700827,700786,42.77,42.77
2,256,247166,247103,60.34,60.32
2,512,128158,128090,62.57,62.54
2,1024,65858,65836,64.31,64.29
2,4096,16805,16800,65.64,65.62
2,16384,4225,4223,66.01,65.98
2,65536,1056,1056,66.00,66.00
3,16,702952,702947,10.72,10.72
3,64,690343,689563,42.13,42.08
3,256,247429,247354,60.40,60.38
3,512,128144,127979,62.57,62.48
3,1024,65843,65818,64.29,64.27
3,4096,16777,16772,65.53,65.51
3,16384,4224,4223,66.00,65.98
3,65536,1056,1056,66.00,66.00
