Run,Size,RateLimit,Min,Median,P75,P95,P99,PubRate,PubBW,ConBW
1,16,10,0.24,0.32,0.33,0.36,0.43,10,0.00,0.00
1,16,100,0.19,0.29,0.30,0.32,0.35,100,0.00,0.00
1,16,1000,0.15,0.22,0.26,0.34,0.35,1000,0.01,0.01
1,16,5000,0.16,0.25,0.28,0.44,0.53,4998,0.07,0.07
1,16,10000,0.14,0.28,0.29,0.35,0.41,9993,0.15,0.15
1,16,50000,0.15,0.39,0.42,0.47,0.60,49875,0.76,0.76
1,16,100000,0.18,0.72,0.73,0.77,2.46,99476,1.51,1.51
1,16,250000,0.21,0.94,1.03,1.17,5.63,246771,3.76,3.76
1,16,500000,0.44,48.67,61.19,67.63,72.11,485486,7.40,7.38
2,16,10,0.21,0.29,0.31,0.34,0.75,10,0.00,0.00
2,16,100,0.15,0.28,0.29,0.31,0.35,100,0.00,0.00
2,16,1000,0.15,0.25,0.34,0.35,0.38,1000,0.01,0.01
2,16,5000,0.15,0.25,0.28,0.41,0.47,4998,0.07,0.07
2,16,10000,0.15,0.27,0.32,0.43,0.47,9995,0.15,0.15
2,16,50000,0.15,0.39,0.41,0.49,0.60,49875,0.76,0.76
2,16,100000,0.14,0.72,0.75,0.81,2.08,99504,1.51,1.51
2,16,250000,0.23,0.95,1.04,1.20,5.83,246762,3.76,3.76
2,16,500000,0.57,2.29,10.72,37.86,51.17,486762,7.42,7.41
3,16,10,0.28,0.33,0.34,0.37,0.49,10,0.00,0.00
3,16,100,0.20,0.30,0.32,0.34,0.37,100,0.00,0.00
3,16,1000,0.15,0.21,0.24,0.29,0.36,1000,0.01,0.01
3,16,5000,0.14,0.41,0.41,0.41,0.43,4998,0.07,0.07
3,16,10000,0.15,0.41,0.41,0.42,0.43,9994,0.15,0.15
3,16,50000,0.16,0.46,0.55,0.72,0.89,49872,0.76,0.76
3,16,100000,0.15,0.61,0.68,0.74,2.12,99494,1.51,1.51
3,16,250000,0.19,1.05,1.11,1.30,5.89,246751,3.76,3.76
3,16,500000,0.35,2.15,2.56,20.33,35.10,488226,7.44,7.44
1,64,10,0.23,0.31,0.32,0.35,0.44,10,0.00,0.00
1,64,100,0.19,0.30,0.32,0.35,0.38,100,0.00,0.00
1,64,1000,0.14,0.22,0.25,0.30,0.36,1000,0.06,0.06
1,64,5000,0.14,0.24,0.28,0.33,0.47,4998,0.30,0.30
1,64,10000,0.16,0.40,0.41,0.42,0.60,9994,0.60,0.60
1,64,50000,0.16,0.44,0.48,0.62,0.70,49878,3.04,3.04
1,64,100000,0.15,0.65,0.69,0.77,2.79,99495,6.07,6.07
1,64,250000,0.17,1.01,1.08,1.23,5.47,246845,15.06,15.06
1,64,500000,0.32,30.87,36.78,40.73,44.57,473266,28.88,28.83
2,64,10,0.22,0.36,0.37,0.39,0.41,10,0.00,0.00
2,64,100,0.20,0.31,0.32,0.34,0.36,100,0.00,0.00
2,64,1000,0.15,0.23,0.26,0.30,0.38,1000,0.06,0.06
2,64,5000,0.14,0.25,0.28,0.33,0.43,4998,0.30,0.30
2,64,10000,0.14,0.29,0.41,0.46,0.50,9995,0.61,0.61
2,64,50000,0.15,0.44,0.51,0.69,0.76,49870,3.04,3.04
2,64,100000,0.15,0.72,0.74,0.80,2.20,99483,6.07,6.07
2,64,250000,0.29,1.09,1.17,1.33,5.75,246824,15.06,15.06
2,64,500000,0.56,2.30,5.35,34.11,40.10,488720,29.82,29.82
3,64,10,0.22,0.35,0.36,0.39,0.42,10,0.00,0.00
3,64,100,0.21,0.35,0.50,0.53,0.55,100,0.00,0.00
3,64,1000,0.15,0.34,0.34,0.35,0.42,1000,0.06,0.06
3,64,5000,0.17,0.28,0.28,0.38,0.47,4998,0.30,0.30
3,64,10000,0.15,0.41,0.41,0.42,0.61,9994,0.60,0.60
3,64,50000,0.16,0.43,0.46,0.54,0.66,49875,3.04,3.04
3,64,100000,0.15,0.72,0.73,0.76,1.92,99474,6.07,6.07
3,64,250000,0.18,1.05,1.16,1.30,5.54,246845,15.06,15.06
3,64,500000,0.42,8.16,23.05,26.96,30.94,488836,29.83,29.83
1,256,10,0.28,0.33,0.34,0.37,0.41,10,0.00,0.00
1,256,100,0.18,0.28,0.29,0.31,0.38,100,0.02,0.02
1,256,1000,0.15,0.23,0.26,0.31,0.37,1000,0.24,0.24
1,256,5000,0.15,0.28,0.31,0.37,0.49,4998,1.22,1.22
1,256,10000,0.15,0.41,0.41,0.42,0.60,9994,2.43,2.43
1,256,50000,0.21,0.49,0.70,0.75,0.92,49871,12.17,12.17
1,256,100000,0.15,0.62,0.74,0.84,3.26,99496,24.29,24.28
1,256,250000,0.24,1.25,1.37,1.75,5.79,246823,60.25,60.25
2,256,10,0.29,0.34,0.35,0.37,0.42,10,0.00,0.00
2,256,100,0.19,0.30,0.32,0.35,0.40,100,0.02,0.02
2,256,1000,0.15,0.24,0.28,0.33,0.37,1000,0.24,0.24
2,256,5000,0.15,0.28,0.40,0.42,0.54,4998,1.22,1.22
2,256,10000,0.14,0.28,0.32,0.44,0.51,9994,2.43,2.43
2,256,50000,0.15,0.51,0.63,0.73,1.05,49876,12.17,12.17
2,256,100000,0.18,0.79,0.93,1.03,2.33,99491,24.28,24.28
2,256,250000,0.23,1.02,1.15,1.51,5.51,246798,60.25,60.24
3,256,10,0.20,0.30,0.31,0.34,0.36,10,0.00,0.00
3,256,100,0.17,0.28,0.30,0.32,0.37,100,0.02,0.02
3,256,1000,0.16,0.23,0.26,0.31,0.37,1000,0.24,0.24
3,256,5000,0.15,0.42,0.45,0.57,0.67,4998,1.22,1.22
3,256,10000,0.16,0.30,0.33,0.38,0.47,9994,2.43,2.43
3,256,50000,0.15,0.46,0.50,0.59,0.89,49875,12.17,12.17
3,256,100000,0.19,0.74,0.80,0.94,2.33,99501,24.29,24.29
3,256,250000,0.16,1.26,1.39,2.15,5.72,246829,60.26,60.25
1,512,10,0.26,0.33,0.34,0.37,0.40,10,0.00,0.00
1,512,100,0.27,0.30,0.54,0.55,0.61,100,0.04,0.04
1,512,1000,0.17,0.25,0.27,0.35,0.47,1000,0.48,0.48
1,512,5000,0.15,0.41,0.41,0.46,0.67,4998,2.44,2.44
1,512,10000,0.15,0.30,0.33,0.40,0.55,9994,4.87,4.87
1,512,50000,0.16,0.62,0.69,0.77,1.06,49873,24.35,24.35
1,512,100000,0.18,0.81,0.85,1.01,2.08,99475,48.57,48.56
2,512,10,0.22,0.42,0.55,0.55,0.58,10,0.00,0.00
2,512,100,0.19,0.29,0.31,0.34,0.38,100,0.04,0.04
2,512,1000,0.14,0.21,0.23,0.28,0.32,1000,0.48,0.48
2,512,5000,0.16,0.27,0.30,0.35,0.44,4998,2.44,2.44
2,512,10000,0.15,0.32,0.40,0.46,0.57,9994,4.87,4.87
2,512,50000,0.15,0.53,0.64,0.75,0.94,49877,24.35,24.35
2,512,100000,0.18,0.94,1.06,1.16,2.21,99486,48.57,48.57
3,512,10,0.21,0.32,0.34,0.36,0.38,10,0.00,0.00
3,512,100,0.19,0.33,0.34,0.38,0.49,100,0.04,0.04
3,512,1000,0.15,0.22,0.25,0.29,0.36,1000,0.48,0.48
3,512,5000,0.15,0.28,0.30,0.36,0.50,4998,2.44,2.44
3,512,10000,0.15,0.31,0.35,0.45,0.61,9993,4.87,4.87
3,512,50000,0.18,0.59,0.73,0.80,1.08,49875,24.35,24.35
