Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,426982,426401,6.51,6.50
1,64,390118,389753,23.81,23.78
1,256,350717,350666,85.62,85.61
1,512,265082,265054,129.43,129.42
1,1024,233255,233233,227.78,227.76
1,4096,101553,101548,396.69,396.67
1,16384,25433,25432,397.39,397.37
1,65536,6558,6558,409.87,409.87
2,16,410765,410361,6.26,6.26
2,64,421492,421260,25.72,25.71
2,256,348104,348030,84.98,84.96
2,512,287223,287178,140.24,140.22
2,1024,246816,246786,241.03,241.00
2,4096,105196,105191,410.92,410.90
2,16384,24690,24688,385.78,385.75
2,65536,6275,6275,392.18,392.18
3,16,443036,442676,6.76,6.75
3,64,401970,401752,24.53,24.52
3,256,358278,358208,87.47,87.45
3,512,278956,278913,136.20,136.18
3,1024,206047,206030,201.21,201.20
3,4096,94469,94464,369.01,369.00
3,16384,25825,25824,403.51,403.50
3,65536,6648,6648,415.50,415.50
