Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,903169,902940,13.78,13.77
1,64,852968,852862,52.06,52.05
1,256,685985,685918,167.47,167.46
1,512,534758,534712,261.11,261.08
1,1024,367886,367860,359.26,359.23
1,4096,139930,139924,546.60,546.57
1,16384,37693,37690,588.95,588.90
1,65536,3230,3230,201.87,201.87
2,16,888885,888645,13.56,13.55
2,64,844803,844693,51.56,51.55
2,256,672742,672678,164.24,164.22
2,512,515432,515410,251.67,251.66
2,1024,376951,376924,368.11,368.08
2,4096,125658,125652,490.85,490.82
2,16384,37628,37624,587.93,587.87
2,65536,3491,1096,218.18,68.50
3,16,882912,882727,13.47,13.46
3,64,824317,824220,50.31,50.30
3,256,643607,643578,157.13,157.12
3,512,498669,498624,243.49,243.46
3,1024,339024,338991,331.07,331.04
3,4096,128498,128491,501.94,501.91
3,16384,37593,37591,587.39,587.35
3,65536,3579,1928,223.68,120.50
