Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,361510,180765,5.51,2.75
1,64,341688,170867,20.85,10.42
1,256,336384,168150,82.12,41.05
1,512,362036,181051,176.77,88.40
1,1024,294358,147843,287.45,144.37
2,16,359308,179695,5.48,2.74
2,64,362448,181336,22.12,11.06
2,256,349888,179648,85.42,43.85
2,512,340688,169722,166.35,82.87
2,1024,283710,140755,277.06,137.45
3,16,351220,184271,5.35,2.81
3,64,333900,192259,20.37,11.73
3,256,318618,170496,77.78,41.62
3,512,360418,179430,175.98,87.61
3,1024,299332,149731,292.31,146.22
