Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,351292,175628,5.36,2.67
1,64,339800,168739,20.73,10.29
1,256,324926,162297,79.32,39.62
1,512,323332,161628,157.87,78.91
1,1024,319298,159685,311.81,155.94
2,16,341082,170585,5.20,2.60
2,64,284150,141863,17.34,8.65
2,256,321916,160990,78.59,39.30
2,512,331450,165729,161.84,80.92
2,1024,322070,161237,314.52,157.45
3,16,350182,175077,5.34,2.67
3,64,317708,158846,19.39,9.69
3,256,340092,170071,83.03,41.52
3,512,335472,167709,163.80,81.88
3,1024,338000,168814,330.07,164.85
