Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,363194,182538,5.54,2.78
1,64,359046,184388,21.91,11.25
1,256,327526,164437,79.96,40.14
1,512,355066,178707,173.37,87.25
1,1024,291546,145278,284.71,141.87
2,16,337744,186503,5.15,2.84
2,64,356206,197690,21.74,12.06
2,256,326116,164911,79.61,40.26
2,512,335252,167604,163.69,81.83
2,1024,282454,141658,275.83,138.33
3,16,345114,172319,5.26,2.62
3,64,342398,171197,20.89,10.44
3,256,356546,178879,87.04,43.67
3,512,346374,173076,169.12,84.50
3,1024,281282,140811,274.68,137.51
