Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,355232,177554,5.42,2.70
1,64,274218,136620,16.73,8.33
1,256,334478,167187,81.65,40.81
1,512,326388,163209,159.36,79.69
1,1024,326984,163894,319.32,160.05
2,16,333572,166690,5.08,2.54
2,64,255956,127807,15.62,7.80
2,256,333492,166932,81.41,40.75
2,512,334396,167121,163.27,81.60
2,1024,320563,160319,313.04,156.56
3,16,331562,165742,5.05,2.52
3,64,328454,164180,20.04,10.02
3,256,332076,166002,81.07,40.52
3,512,312562,156277,152.61,76.30
3,1024,337744,168914,329.82,164.95
