Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,961532,961400,14.67,14.66
1,64,893953,893854,54.56,54.55
1,256,715653,715550,174.71,174.69
1,512,611457,611418,298.56,298.54
1,1024,436138,436101,425.91,425.87
1,4096,116384,116144,454.62,453.68
1,16384,29401,29375,459.39,458.98
1,65536,7367,7366,460.43,460.37
2,16,964298,964041,14.71,14.71
2,64,917467,917224,55.99,55.98
2,256,740012,739944,180.66,180.65
2,512,602798,602750,294.33,294.31
2,1024,444017,441800,433.61,431.44
2,4096,116399,116137,454.68,453.66
2,16384,29398,29372,459.34,458.93
2,65536,7365,7364,460.31,460.25
3,16,965478,965104,14.73,14.72
3,64,904054,903943,55.17,55.17
3,256,729134,729087,178.01,177.99
3,512,607242,607201,296.50,296.48
3,1024,439552,439525,429.25,429.22
3,4096,116321,116138,454.37,453.66
3,16384,29398,29371,459.34,458.92
3,65536,7369,7364,460.56,460.25
