Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,554682,554471,8.46,8.46
1,64,549123,549005,33.51,33.50
1,256,395044,395005,96.44,96.43
1,512,364225,364199,177.84,177.83
1,1024,286707,286685,279.98,279.96
1,4096,118908,118900,464.48,464.45
1,16384,30272,30271,473.00,472.98
1,65536,6293,6292,393.31,393.25
2,16,390749,390521,5.96,5.95
2,64,508787,508687,31.05,31.04
2,256,316810,316766,77.34,77.33
2,512,312373,312341,152.52,152.51
2,1024,199968,199946,195.28,195.25
2,4096,70855,70848,276.77,276.75
2,16384,20172,20171,315.18,315.17
2,65536,4779,4779,298.68,298.68
3,16,514945,514689,7.85,7.85
3,64,461368,461284,28.15,28.15
3,256,335097,335053,81.81,81.80
3,512,259232,259201,126.57,126.56
3,1024,177239,177223,173.08,173.06
3,4096,61948,61945,241.98,241.97
3,16384,16029,16028,250.45,250.43
3,65536,3754,3753,234.62,234.56
