Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,828857,828694,12.64,12.64
1,64,768693,768577,46.91,46.91
1,256,621162,621114,151.65,151.63
1,512,500630,500605,244.44,244.43
1,1024,353165,353146,344.88,344.86
1,4096,133027,133021,519.63,519.61
1,16384,36608,36606,572.00,571.96
1,65536,9331,9330,583.18,583.12
2,16,811950,811741,12.38,12.38
2,64,770309,770156,47.01,47.00
2,256,612623,612572,149.56,149.55
2,512,500191,500151,244.23,244.21
2,1024,354723,354704,346.40,346.39
2,4096,133274,133267,520.60,520.57
2,16384,36908,36906,576.68,576.65
2,65536,9415,9414,588.43,588.37
3,16,811491,811297,12.38,12.37
3,64,772171,772047,47.12,47.12
3,256,623730,623685,152.27,152.26
3,512,436982,436966,213.37,213.36
3,1024,344746,344713,336.66,336.63
3,4096,130252,130245,508.79,508.76
3,16384,36849,36848,575.76,575.75
3,65536,9301,9300,581.31,581.25
