Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,804687,804578,12.27,12.27
1,64,772834,772701,47.17,47.16
1,256,605968,605938,147.94,147.93
1,512,488633,488596,238.59,238.57
1,1024,343757,343738,335.70,335.68
1,4096,120658,120652,471.32,471.29
1,16384,36363,36361,568.17,568.14
1,65536,9370,9369,585.62,585.56
2,16,808981,808801,12.34,12.34
2,64,768111,767955,46.88,46.87
2,256,614481,614447,150.01,150.01
2,512,484946,484903,236.79,236.76
2,1024,255032,255017,249.05,249.04
2,4096,120358,120348,470.14,470.10
2,16384,33092,33090,517.06,517.03
2,65536,8987,8987,561.68,561.68
3,16,797962,797787,12.17,12.17
3,64,752840,752737,45.94,45.94
3,256,592389,592311,144.62,144.60
3,512,461936,461892,225.55,225.53
3,1024,332967,332944,325.16,325.14
3,4096,121053,121047,472.86,472.83
3,16384,33301,33300,520.32,520.31
3,65536,9068,9068,566.75,566.75
