Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,334024,167070,5.09,2.54
1,64,341048,170435,20.81,10.40
1,256,333206,166580,81.34,40.66
1,512,341548,170508,166.77,83.25
1,1024,337026,168564,329.12,164.61
2,16,342882,171468,5.23,2.61
2,64,347856,173929,21.23,10.61
2,256,318248,159150,77.69,38.85
2,512,345392,172702,168.64,84.32
2,1024,334182,166607,326.34,162.70
3,16,348446,174079,5.31,2.65
3,64,335472,167695,20.47,10.23
3,256,329558,164095,80.45,40.06
3,512,340484,170169,166.25,83.09
3,1024,331400,165750,323.63,161.86
