Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,296207,149262,4.51,2.27
1,64,303342,151305,18.51,9.23
1,256,199550,99757,48.71,24.35
1,512,196228,98387,95.81,48.04
1,1024,258970,129596,252.90,126.55
2,16,211078,106045,3.22,1.61
2,64,274686,137115,16.76,8.36
2,256,288440,144162,70.41,35.19
2,512,280982,140741,137.19,68.72
2,1024,294502,147219,287.59,143.76
3,16,225156,112474,3.43,1.71
3,64,204846,102915,12.50,6.28
3,256,283748,141899,69.27,34.64
3,512,264007,132015,128.90,64.46
3,1024,261983,130920,255.84,127.85
