Run,Size,PubRate,ConRate,PubBW,ConBW
1,16,568406,568165,8.67,8.66
1,64,502570,502438,30.67,30.66
1,256,395447,395375,96.54,96.52
1,512,319480,319446,155.99,155.97
1,1024,219498,219443,214.35,214.29
1,4096,80577,80568,314.75,314.71
1,16384,21732,21729,339.56,339.51
1,65536,6812,6812,425.75,425.75
2,16,556466,556322,8.49,8.48
2,64,489110,489040,29.85,29.84
2,256,389133,389074,95.00,94.98
2,512,307100,307067,149.95,149.93
2,1024,210103,210083,205.17,205.15
2,4096,78010,78001,304.72,304.69
2,16384,23343,23340,364.73,364.68
2,65536,815,724,50.93,45.25
3,16,110229,104694,1.68,1.59
3,64,66343,61997,4.04,3.78
3,256,25644,24857,6.26,6.06
3,512,16345,13814,7.98,6.74
3,1024,30270,7315,29.56,7.14
3,4096,1936,1913,7.56,7.47
3,16384,480,479,7.50,7.48
3,65536,121,121,7.56,7.56
